Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Brand,Model
Mahindra XUV500 AT W10 AWD,Coimbatore,2018,82739,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500 AT W10 AWD
Honda City 1.5 V MT Exclusive,Delhi,2012,42000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,Honda,City 1.5 V MT Exclusive
Toyota Etios Liva 1.2 G,Coimbatore,2015,64005,Petrol,Manual,First,17.71,1197.0,78.9,5.0,Toyota,Etios Liva 1.2 G
Tata Nano Cx,Jaipur,2010,57000,Petrol,Manual,First,26.0,624.0,35.0,4.0,Tata,Nano Cx
Volkswagen Polo Petrol Highline 1.6L,Coimbatore,2013,56526,Petrol,Manual,First,15.26,1598.0,103.5,5.0,Volkswagen,Polo Petrol Highline 1.6L
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,Honda,BRV i-VTEC V CVT
Maruti Omni E 8 Str STD,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,Maruti,Omni E 8 Str STD
Maruti Swift Dzire VXI,Pune,2014,68218,Petrol,Manual,First,19.1,1197.0,85.8,5.0,Maruti,Swift Dzire VXI
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,50000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6 2011-2015 2.0 TDI Premium Plus
Mahindra Xylo D4,Hyderabad,2016,105545,Diesel,Manual,First,14.0,2498.0,112.0,7.0,Mahindra,Xylo D4
Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7,796.0,47.3,5.0,Maruti,Alto 800 2016-2019 LXI
Audi A6 35 TDI Matrix,Chennai,2015,20000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,Audi,A6 35 TDI Matrix
Ford Ecosport 1.5 DV5 MT Trend,Bangalore,2013,36000,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,Ford,Ecosport 1.5 DV5 MT Trend
Hyundai i10 Asta,Ahmedabad,2011,86000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Asta
Honda Brio S MT,Jaipur,2015,46650,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio S MT
Maruti Ciaz 1.4 Delta,Coimbatore,2018,7784,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz 1.4 Delta
Honda Civic 2006-2010 1.8 V MT,Kolkata,2009,59000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,Honda,Civic 2006-2010 1.8 V MT
Toyota Corolla Altis VL AT,Mumbai,2015,42000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,Toyota,Corolla Altis VL AT
Maruti Swift Dzire VXi,Pune,2010,49900,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,Maruti,Swift Dzire VXi
Mahindra Bolero SLX 2WD,Bangalore,2006,193000,Diesel,Manual,Third,13.6,2523.0,63.0,7.0,Mahindra,Bolero SLX 2WD
Toyota Fortuner 3.0 Diesel,Bangalore,2013,100000,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,Toyota,Fortuner 3.0 Diesel
Hyundai Santro Xing XL,Jaipur,2007,85000,Petrol,Manual,Second,,1086.0,,5.0,Hyundai,Santro Xing XL
Honda Brio S MT,Chennai,2013,55000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio S MT
Skoda Laura 1.9 TDI MT Elegance,Pune,2007,124298,Diesel,Manual,Second,17.0,1896.0,105.0,5.0,Skoda,Laura 1.9 TDI MT Elegance
Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,26.6,998.0,58.16,5.0,Maruti,Wagon R LXI CNG
BMW 3 Series 2005-2011 325i Sedan,Pune,2011,43706,Petrol,Automatic,First,10.9,2497.0,215.0,5.0,BMW,3 Series 2005-2011 325i Sedan
Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz 1.2 VX i VTEC
Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna 1.6 SX CRDi (O)
Renault Pulse RxL,Hyderabad,2014,48425,Diesel,Manual,First,23.08,1461.0,63.12,5.0,Renault,Pulse RxL
Mercedes-Benz New C-Class C250 Avantgarde,Delhi,2011,64000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,Mercedes-Benz,New C-Class C250 Avantgarde
Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,13414,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,Mercedes-Benz,CLA 200 CDI Sport
Hyundai Elite i20 Petrol Asta,Mumbai,2015,28133,Petrol,Manual,First,18.6,1197.0,81.86,5.0,Hyundai,Elite i20 Petrol Asta
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,Skoda,Superb Style 1.8 TSI AT
Audi TT 2.0 TFSI,Kochi,2014,14262,Petrol,Automatic,First,9.9,1984.0,207.8,2.0,Audi,TT 2.0 TFSI
Hyundai i20 1.2 Spotz,Kochi,2016,42362,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 1.2 Spotz
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,Hyundai,i20 Magna Optional 1.2
Hyundai i10 Sportz,Pune,2009,62500,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Sportz
Honda City i VTEC CVT VX,Hyderabad,2017,12538,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,Honda,City i VTEC CVT VX
BMW 5 Series 525d Sedan,Mumbai,2013,35000,Diesel,Automatic,First,16.73,2993.0,218.0,5.0,BMW,5 Series 525d Sedan
Honda Amaze S i-Vtech,Chennai,2013,46112,Petrol,Manual,First,18.0,1198.0,86.7,5.0,Honda,Amaze S i-Vtech
Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi AT SX Plus
Tata Tiago 1.2 Revotron XZ WO Alloy,Hyderabad,2017,16500,Petrol,Manual,First,23.84,1199.0,84.0,5.0,Tata,Tiago 1.2 Revotron XZ WO Alloy
Ford Figo Petrol ZXI,Kolkata,2010,44287,Petrol,Manual,First,15.6,1196.0,70.0,5.0,Ford,Figo Petrol ZXI
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Coimbatore,2017,43477,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class 2015-2017 E250 Edition E
Honda City 1.5 E MT,Pune,2009,60000,Petrol,Manual,Third,17.0,1497.0,118.0,5.0,Honda,City 1.5 E MT
Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2017,95802,Diesel,Manual,Second,25.83,1498.0,99.0,5.0,Ford,Figo 2015-2019 1.5D Trend MT
Mini Cooper S,Pune,2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,Mini,Cooper S
Mini Cooper Convertible S,Chennai,2012,17000,Petrol,Automatic,Second,16.82,1998.0,189.08,4.0,Mini,Cooper Convertible S
Land Rover Range Rover Sport SE,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993.0,255.0,5.0,Land_Rover,Rover Range Rover Sport SE
Maruti Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz ZXi
Maruti Wagon R VXI Plus,Kolkata,2018,10000,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon R VXI Plus
Maruti Ciaz VDi,Ahmedabad,2015,24000,Diesel,Manual,First,26.21,1248.0,88.5,5.0,Maruti,Ciaz VDi
Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2013,83165,Diesel,Manual,First,12.8,2494.0,102.0,8.0,Toyota,Innova 2.5 G4 Diesel 8-seater
Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,Datsun,redi-GO T Option
Volkswagen Polo Diesel Comfortline 1.2L,Bangalore,2012,78500,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo Diesel Comfortline 1.2L
Jeep Compass 2.0 Limited Option 4X4,Jaipur,2017,45000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,Jeep,Compass 2.0 Limited Option 4X4
Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift VDI
Mercedes-Benz B Class B180,Delhi,2013,30000,Petrol,Automatic,Second,14.8,1595.0,120.7,5.0,Mercedes-Benz,B Class B180
Renault KWID RXL,Kochi,2019,7858,Petrol,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXL
Hyundai Verna 1.6 CRDi SX,Ahmedabad,2015,60000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,Hyundai,Verna 1.6 CRDi SX
Hyundai Verna 1.6 EX VTVT,Kolkata,2014,58000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,Hyundai,Verna 1.6 EX VTVT
Nissan Micra XL,Kolkata,2013,45000,Petrol,Manual,First,18.44,1198.0,75.0,5.0,Nissan,Micra XL
Maruti Swift VDi BSIII W/ ABS,Jaipur,2008,150000,Diesel,Manual,Second,17.8,1248.0,75.0,5.0,Maruti,Swift VDi BSIII W/ ABS
Maruti Swift Lxi BSIII,Pune,2009,90456,Petrol,Manual,Second,16.1,1298.0,88.2,5.0,Maruti,Swift Lxi BSIII
Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz VDi Plus SHVS
Mini Cooper 3 DOOR S,Mumbai,2013,21000,Petrol,Automatic,First,17.44,1998.0,189.08,4.0,Mini,Cooper 3 DOOR S
Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift VDI
Mahindra Xylo E4,Chennai,2009,67700,Diesel,Manual,First,14.0,2498.0,112.0,7.0,Mahindra,Xylo E4
Audi A6 2.7 TDI,Ahmedabad,2009,78000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,Audi,A6 2.7 TDI
Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,23.1,998.0,67.04,5.0,Maruti,Celerio VXI
BMW 3 Series 320i Sedan,Coimbatore,2010,48394,Petrol,Automatic,First,12.05,1995.0,154.0,5.0,BMW,3 Series 320i Sedan
Maruti Omni 5 Seater BSIV,Coimbatore,2016,63617,Petrol,Manual,First,14.0,796.0,35.0,5.0,Maruti,Omni 5 Seater BSIV
Maruti Ertiga ZDI,Hyderabad,2016,85423,Diesel,Manual,First,20.77,1248.0,88.8,7.0,Maruti,Ertiga ZDI
Toyota Fortuner 3.0 Diesel,Chennai,2011,150152,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,Toyota,Fortuner 3.0 Diesel
Ford Ikon 1.3 Flair,Chennai,2002,65134,Petrol,Manual,Third,13.8,1299.0,70.0,5.0,Ford,Ikon 1.3 Flair
BMW 5 Series 523i Sedan,Mumbai,2010,74000,Petrol,Automatic,First,10.8,2497.0,150.0,5.0,BMW,5 Series 523i Sedan
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Magna
Honda Amaze S i-Dtech,Pune,2014,48000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze S i-Dtech
Volkswagen Ameo 1.2 MPI Highline,Kochi,2017,14576,Petrol,Manual,First,17.0,1198.0,73.75,5.0,Volkswagen,Ameo 1.2 MPI Highline
Volkswagen Vento Petrol Highline,Pune,2011,57328,Petrol,Manual,First,15.04,1598.0,103.6,5.0,Volkswagen,Vento Petrol Highline
Maruti Alto LXi,Jaipur,2011,90000,Petrol,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto LXi
Audi Q3 2.0 TDI,Hyderabad,2013,105000,Diesel,Automatic,First,17.32,1968.0,150.0,5.0,Audi,Q3 2.0 TDI
Maruti Wagon R LXI BS IV,Delhi,2015,13008,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon R LXI BS IV
Maruti Alto K10 2010-2014 VXI,Mumbai,2010,15669,Petrol,Manual,First,20.92,998.0,67.1,5.0,Maruti,Alto K10 2010-2014 VXI
Maruti Wagon R LXI,Delhi,2018,22296,Petrol,Manual,Second,22.5,998.0,67.04,5.0,Maruti,Wagon R LXI
Maruti Swift ZDi,Hyderabad,2016,55746,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift ZDi
BMW 3 Series 2005-2011 325i Sedan,Coimbatore,2010,77849,Petrol,Automatic,Second,10.9,2497.0,215.0,5.0,BMW,3 Series 2005-2011 325i Sedan
Skoda Octavia Elegance 2.0 TDI AT,Bangalore,2013,50000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,Skoda,Octavia Elegance 2.0 TDI AT
Mahindra XUV500 AT W10 FWD,Kochi,2018,25948,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500 AT W10 FWD
Honda City V MT,Delhi,2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,Honda,City V MT
Hyundai Santro Xing XO eRLX Euro II,Pune,2006,108000,Petrol,Manual,Second,17.0,1086.0,,5.0,Hyundai,Santro Xing XO eRLX Euro II
Honda City i DTEC S,Coimbatore,2017,65792,Diesel,Manual,First,26.0,1498.0,98.6,5.0,Honda,City i DTEC S
Maruti Swift Dzire VDI,Bangalore,2014,29000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,Maruti,Swift Dzire VDI
Renault Pulse RxL,Kolkata,2012,52612,Diesel,Manual,First,23.08,1461.0,63.12,5.0,Renault,Pulse RxL
Hyundai Elantra CRDi SX,Bangalore,2014,72017,Diesel,Manual,First,22.7,1582.0,126.24,5.0,Hyundai,Elantra CRDi SX
Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,2012,62729,Diesel,Manual,First,12.05,2179.0,120.0,8.0,Mahindra,Scorpio VLX 2.2 mHawk BSIII
Hyundai i20 Asta 1.2,Kolkata,2015,41000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 Asta 1.2
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Hyderabad,2014,53000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,Mercedes-Benz,E-Class 2009-2013 E250 CDI Elegance
Ford Ecosport 1.5 DV5 MT Titanium,Kochi,2015,80064,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport 1.5 DV5 MT Titanium
Hyundai i20 Magna,Chennai,2009,69000,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,Hyundai,i20 Magna
Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,20.86,1199.0,73.9,5.0,Skoda,Fabia 1.2 TDI Ambition
Toyota Fortuner 4x4 MT,Pune,2011,141844,Diesel,Manual,First,12.55,2982.0,168.5,7.0,Toyota,Fortuner 4x4 MT
Honda City ZX GXi,Delhi,2008,81000,Petrol,Manual,First,17.7,1497.0,78.0,5.0,Honda,City ZX GXi
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0,1497.0,115.0,5.0,Mahindra,XUV300 W8 Diesel
Audi A6 2.7 TDI,Mumbai,2009,30000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,Audi,A6 2.7 TDI
Chevrolet Enjoy 1.3 TCDi LTZ 7,Bangalore,2013,65137,Diesel,Manual,Second,18.2,1248.0,73.74,7.0,Chevrolet,Enjoy 1.3 TCDi LTZ 7
Honda Accord 2.4 AT,Mumbai,2008,95000,Petrol,Automatic,Third,11.7,2354.0,177.6,5.0,Honda,Accord 2.4 AT
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Ahmedabad,2016,39500,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class 2015-2017 E250 Edition E
Hyundai Elantra CRDi SX,Kolkata,2013,37489,Diesel,Manual,First,22.7,1582.0,126.24,5.0,Hyundai,Elantra CRDi SX
Mitsubishi Montero 3.2 GLS,Chennai,2007,179032,Diesel,Manual,First,11.56,3200.0,199.3,7.0,Mitsubishi,Montero 3.2 GLS
Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,17.0,1198.0,73.75,5.0,Volkswagen,Ameo 1.2 MPI Trendline
BMW 3 Series 320d Highline,Mumbai,2008,66000,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,BMW,3 Series 320d Highline
Ford Freestyle Titanium Plus Petrol,Kolkata,2018,8896,Petrol,Manual,First,19.0,1194.0,94.68,5.0,Ford,Freestyle Titanium Plus Petrol
Maruti Swift VXI Optional,Kochi,2017,31696,Petrol,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift VXI Optional
Hyundai Xcent 1.2 Kappa AT SX Option,Chennai,2015,59800,Petrol,Automatic,First,16.9,1197.0,82.0,5.0,Hyundai,Xcent 1.2 Kappa AT SX Option
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo Diesel ZXI
Honda City 1.5 V MT,Delhi,2011,90000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,Honda,City 1.5 V MT
Honda City i DTec VX,Coimbatore,2018,45555,Diesel,Manual,First,26.0,1498.0,98.6,5.0,Honda,City i DTec VX
Mahindra Jeep MM 540 DP,Chennai,2002,75000,Diesel,Manual,First,,2112.0,,6.0,Mahindra,Jeep MM 540 DP
Volkswagen Vento Diesel Comfortline,Kochi,2014,52400,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento Diesel Comfortline
Hyundai Verna 1.6 SX,Hyderabad,2014,39791,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna 1.6 SX
Tata Indigo LX,Coimbatore,2013,59138,Diesel,Manual,First,17.0,1405.0,70.0,5.0,Tata,Indigo LX
Audi A4 35 TDI Premium Plus,Coimbatore,2014,28469,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,Audi,A4 35 TDI Premium Plus
Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.12,1373.0,91.1,5.0,Maruti,Ciaz 1.4 AT Alpha
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,Porsche,Cayenne 2009-2014 Turbo
Hyundai Santro Xing GL Plus LPG,Hyderabad,2014,56000,LPG,Manual,First,13.45,1086.0,62.1,5.0,Hyundai,Santro Xing GL Plus LPG
Honda Brio E MT,Ahmedabad,2012,16000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio E MT
Land Rover Range Rover 3.0 D,Mumbai,2003,75000,Diesel,Automatic,Second,,,,,Land_Rover,Rover Range Rover 3.0 D
Hyundai i20 1.4 Asta,Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20 1.4 Asta
Skoda Laura Classic 1.8 TSI,Pune,2010,85000,Petrol,Manual,First,17.5,1798.0,,5.0,Skoda,Laura Classic 1.8 TSI
Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998.0,66.1,5.0,Maruti,A-Star Vxi
Hyundai Sonata Transform 2.4 GDi MT,Mumbai,2014,12000,Petrol,Manual,First,13.44,2359.0,198.25,5.0,Hyundai,Sonata Transform 2.4 GDi MT
Toyota Corolla 1.8 J,Delhi,2015,12000,Petrol,Manual,First,14.53,1798.0,138.0,5.0,Toyota,Corolla 1.8 J
Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 1.2 Magna Executive
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6 2011-2015 35 TDI Premium
Fiat Avventura FIRE Dynamic,Pune,2016,35000,Petrol,Manual,Second,14.4,1368.0,88.8,5.0,Fiat,Avventura FIRE Dynamic
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2012,85122,Diesel,Manual,First,12.99,2494.0,100.0,7.0,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV
Maruti Swift Dzire VDi,Delhi,2010,111166,Diesel,Manual,First,19.3,1248.0,73.9,5.0,Maruti,Swift Dzire VDi
Hyundai Grand i10 1.2 Kappa Sportz Option,Delhi,2017,25348,Petrol,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Sportz Option
Hyundai Grand i10 1.2 CRDi Magna,Jaipur,2018,27000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Magna
Honda City i DTec VX,Ahmedabad,2017,37000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,Honda,City i DTec VX
BMW 3 Series 320d Sedan,Hyderabad,2007,74199,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,BMW,3 Series 320d Sedan
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT Optional
Hyundai Elite i20 Petrol Sportz,Delhi,2016,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,Hyundai,Elite i20 Petrol Sportz
Mercedes-Benz New C-Class C 250 CDI Elegance,Hyderabad,2011,45000,Diesel,Automatic,Second,14.94,2143.0,204.0,5.0,Mercedes-Benz,New C-Class C 250 CDI Elegance
Maruti Wagon R Stingray LXI,Hyderabad,2014,55277,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon R Stingray LXI
Hyundai Grand i10 Sportz,Mumbai,2015,11206,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 Sportz
Hyundai Santro Xing GL Plus,Kolkata,2012,102000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,Hyundai,Santro Xing GL Plus
Toyota Etios GD,Coimbatore,2013,46496,Diesel,Manual,First,23.59,1364.0,,5.0,Toyota,Etios GD
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393.0,147.8,8.0,Toyota,Innova Crysta 2.4 VX MT 8S
Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza ZDi Plus
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Pune,2013,58000,Diesel,Automatic,Second,16.96,1968.0,138.03,5.0,Volkswagen,Jetta 2013-2015 2.0L TDI Highline AT
Mercedes-Benz New C-Class 220 CDI AT,Jaipur,2013,35299,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,Mercedes-Benz,New C-Class 220 CDI AT
Volkswagen Polo 1.2 MPI Comfortline,Coimbatore,2016,32125,Petrol,Manual,First,16.2,1199.0,74.0,5.0,Volkswagen,Polo 1.2 MPI Comfortline
Maruti Alto 800 CNG LXI,Kolkata,2013,14311,CNG,Manual,First,30.46,796.0,47.3,5.0,Maruti,Alto 800 CNG LXI
Renault Duster 85PS Diesel RxL,Mumbai,2014,28215,Diesel,Manual,First,19.87,1461.0,83.8,5.0,Renault,Duster 85PS Diesel RxL
Hyundai Grand i10 1.2 CRDi Sportz,Delhi,2015,59261,Diesel,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Sportz
Mahindra Scorpio SLE BSIV,Delhi,2012,77000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,Mahindra,Scorpio SLE BSIV
Hyundai i20 1.2 Era,Kochi,2013,55653,Petrol,Manual,First,17.0,1197.0,80.0,5.0,Hyundai,i20 1.2 Era
Hyundai Verna 1.4 CRDi,Bangalore,2016,79000,Diesel,Manual,First,24.8,1396.0,88.7,5.0,Hyundai,Verna 1.4 CRDi
Chevrolet Spark 1.0 LS,Bangalore,2008,85142,Petrol,Manual,Second,18.0,995.0,62.0,5.0,Chevrolet,Spark 1.0 LS
Bentley Continental Flying Spur,Hyderabad,2006,48000,Petrol,Automatic,First,8.6,5998.0,552.0,4.0,Bentley,Continental Flying Spur
Renault Captur 1.5 Diesel RXL,Bangalore,2018,22000,Diesel,Manual,First,20.37,1461.0,108.45,5.0,Renault,Captur 1.5 Diesel RXL
Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3 35 TDI Quattro Premium
Maruti SX4 ZXI MT BSIV,Kochi,2013,66012,Petrol,Manual,First,15.5,1586.0,103.3,5.0,Maruti,SX4 ZXI MT BSIV
Toyota Innova 2.5 GX (Diesel) 7 Seater,Delhi,2012,62000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,Toyota,Innova 2.5 GX (Diesel) 7 Seater
Toyota Corolla 1.8 J,Kolkata,2009,60000,Petrol,Manual,First,14.53,1798.0,138.0,5.0,Toyota,Corolla 1.8 J
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,Diesel,Manual,First,19.33,1968.0,138.03,5.0,Volkswagen,Jetta 2013-2015 2.0L TDI Highline
Chevrolet Beat Diesel LT,Bangalore,2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,Chevrolet,Beat Diesel LT
Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento Diesel Highline
Toyota Etios G,Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,Toyota,Etios G
Hyundai Creta 1.6 CRDi SX,Coimbatore,2016,34224,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi SX
BMW 5 Series 2003-2012 540i Sedan,Delhi,2006,48000,Petrol,Automatic,Second,11.62,2979.0,306.0,5.0,BMW,5 Series 2003-2012 540i Sedan
Ford EcoSport 1.5 Diesel Titanium,Chennai,2015,67630,Diesel,Manual,First,23.0,1498.0,98.96,5.0,Ford,EcoSport 1.5 Diesel Titanium
Hyundai i10 Magna 1.2,Coimbatore,2013,36264,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Magna 1.2
Honda Brio VX AT,Pune,2016,32000,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,Honda,Brio VX AT
Hyundai Santro Xing XL,Bangalore,2007,47000,Petrol,Manual,Second,,1086.0,,5.0,Hyundai,Santro Xing XL
Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,Audi,A6 2011-2015 35 TFSI Technology
BMW 3 Series 320d,Mumbai,2011,51000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3 Series 320d
Toyota Etios Liva GD,Pune,2012,225000,Diesel,Manual,Second,23.59,1364.0,,5.0,Toyota,Etios Liva GD
Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,Honda,Jazz 1.5 S i DTEC
Nissan Terrano XL,Mumbai,2013,31000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,Nissan,Terrano XL
Maruti Ritz LXi,Kochi,2011,33292,Petrol,Manual,First,18.5,1197.0,85.8,5.0,Maruti,Ritz LXi
