Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Brand,Model
Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85,Toyota,Fortuner 3.0 Diesel
Mitsubishi Outlander 2.4,Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,5.53,Mitsubishi,Outlander 2.4
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,11.5,Volkswagen,Jetta 2007-2011 1.9 Highline TDI
Porsche Cayman 2009-2012 S,Hyderabad,2010,10000,Petrol,Manual,First,9.0,3436.0,,2.0,40.0,Porsche,Cayman 2009-2012 S
Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,9.25,Hyundai,Creta 1.6 CRDi SX
Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,2.29,Skoda,Fabia 1.2 MPI Ambiente Petrol
Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,7.0,Ford,EcoSport 1.5 TDCi Titanium
Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,1.65,Maruti,Zen Estilo 1.1 LXI BSIII
Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,8.25,Maruti,Ciaz 1.4 Delta
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,9.14,Mercedes-Benz,New C-Class C 200 Avantgarde Edition C
Honda Amaze SX i-VTEC,Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,6.5,Honda,Amaze SX i-VTEC
Toyota Etios GD,Kolkata,2012,60000,Diesel,Manual,First,23.59,1364.0,,5.0,2.95,Toyota,Etios GD
Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.75,Renault,Duster 85PS Diesel RxL
Maruti Wagon R LXI LPG BSIV,Hyderabad,2012,72000,LPG,Manual,First,26.2,998.0,58.2,5.0,2.85,Maruti,Wagon R LXI LPG BSIV
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,2.1,Volkswagen,Polo Petrol Highline 1.2L
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.55,Hyundai,Creta 1.6 SX Plus Diesel
Jaguar XF Diesel,Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,20.5,Jaguar,XF Diesel
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,20.0,Jeep,Compass 2.0 Limited 4X4
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,59.72,Land_Rover,Rover Range Rover Evoque 2.0 TD4 HSE Dynamic
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.5,Maruti,Baleno Alpha Diesel
Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.5,Maruti,Ciaz ZDi SHVS
Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,2.15,Maruti,SX4 Vxi BSIII
Hyundai Elantra CRDi SX,Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582.0,126.24,5.0,8.44,Hyundai,Elantra CRDi SX
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12.49,Mitsubishi,Pajero Sport 4X4
Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.48,Volkswagen,Ameo 1.2 MPI Comfortline
Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.2,Maruti,Ritz VXi
Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493.0,110.0,5.0,7.2,Hyundai,Verna CRDi SX
Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.8,Maruti,Swift Dzire Tour LDI
Mahindra KUV 100 mFALCON D75 K6,Kochi,2017,39528,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.83,Mahindra,KUV 100 mFALCON D75 K6
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.39,Toyota,Innova Crysta 2.4 ZX MT
Maruti Baleno Delta 1.2,Pune,2016,14930,Petrol,Manual,First,21.4,1197.0,83.1,5.0,5.85,Maruti,Baleno Delta 1.2
Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6.21,Honda,Jazz VX Diesel
Hyundai i20 1.2 Asta,Delhi,2013,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,3.65,Hyundai,i20 1.2 Asta
Hyundai i20 Sportz Diesel,Delhi,2012,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.7,Hyundai,i20 Sportz Diesel
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,30.0,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C
Hyundai Xcent 1.2 Kappa Base,Kochi,2016,48163,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.85,Hyundai,Xcent 1.2 Kappa Base
Hyundai Grand i10 AT Asta,Coimbatore,2017,19168,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,6.93,Hyundai,Grand i10 AT Asta
Maruti Alto 800 VXI,Kolkata,2016,26000,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.6,Maruti,Alto 800 VXI
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,37400,Petrol,Manual,First,18.2,1199.0,82.5,5.0,1.89,Chevrolet,Sail Hatchback 1.2 LS
Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,,1950.0,194.0,5.0,39.5,Mercedes-Benz,C-Class Progressive C 220d
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2012,95000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,10.0,Skoda,Superb Elegance 1.8 TSI AT
Audi A4 2.0 TDI,Kolkata,2009,34000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,9.95,Audi,A4 2.0 TDI
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2014,95000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,9.45,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,28.25,Mercedes-Benz,CLA 200 CDI Sport
Hyundai i10 Era,Jaipur,2008,84000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,1.8,Hyundai,i10 Era
Maruti Swift Dzire VXi,Kolkata,2008,47000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,1.4,Maruti,Swift Dzire VXi
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,7.25,Skoda,Rapid 1.5 TDI AT Ambition
Maruti Ritz VDi,Hyderabad,2012,96000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.6,Maruti,Ritz VDi
Hyundai Accent GLS 1.6,Jaipur,2004,47300,Petrol,Manual,Second,14.4,1599.0,94.0,5.0,1.2,Hyundai,Accent GLS 1.6
Honda Amaze SX i-VTEC,Coimbatore,2014,28246,Petrol,Manual,Second,17.8,1198.0,86.7,5.0,4.94,Honda,Amaze SX i-VTEC
Maruti Wagon R LXI,Delhi,2007,65000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,Maruti,Wagon R LXI
Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2013,68000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,4.8,Volkswagen,Polo Diesel Comfortline 1.2L
Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,31.15,Ford,Endeavour 2.2 Trend AT 4X2
Hyundai i20 1.2 Sportz,Pune,2011,41980,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.3,Hyundai,i20 1.2 Sportz
Chevrolet Beat Diesel PS,Bangalore,2012,65000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.4,Chevrolet,Beat Diesel PS
Honda Civic 2010-2013 1.8 V MT,Kolkata,2010,38000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,2.0,Honda,Civic 2010-2013 1.8 V MT
Maruti Wagon R VXI BS IV,Pune,2014,51000,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.1,Maruti,Wagon R VXI BS IV
Skoda Rapid 1.6 MPI Ambition Plus,Kochi,2014,33855,Petrol,Manual,First,15.0,1598.0,103.6,5.0,5.09,Skoda,Rapid 1.6 MPI Ambition Plus
Maruti Baleno Vxi - BSIII,Pune,2006,146000,Petrol,Manual,Second,15.4,1590.0,94.0,5.0,1.05,Maruti,Baleno Vxi - BSIII
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2015,47037,Diesel,Manual,Second,22.77,1498.0,98.59,5.0,7.0,Ford,EcoSport 1.5 TDCi Titanium
Hyundai Accent GLE,Ahmedabad,2010,58000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2.5,Hyundai,Accent GLE
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,17.5,BMW,5 Series 520d Luxury Line
Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.1,Maruti,Alto K10 2010-2014 VXI
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,84000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,17.75,Audi,Q3 2012-2015 2.0 TDI Quattro Premium Plus
Maruti Wagon R LXI DUO BSIII,Mumbai,2008,64226,LPG,Manual,First,17.3,1061.0,57.5,5.0,1.45,Maruti,Wagon R LXI DUO BSIII
Toyota Corolla H4,Bangalore,2005,67000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,2.45,Toyota,Corolla H4
Volvo XC60 D5,Pune,2011,106976,Diesel,Automatic,First,13.5,2400.0,215.0,5.0,13.8,Volvo,XC60 D5
Honda Jazz 1.5 VX i DTEC,Kolkata,2016,27210,Diesel,Manual,First,27.3,1498.0,98.6,5.0,5.85,Honda,Jazz 1.5 VX i DTEC
Maruti Ciaz 1.3 Alpha,Delhi,2017,26322,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.9,Maruti,Ciaz 1.3 Alpha
Maruti Swift VXI BSIV,Mumbai,2016,9107,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.15,Maruti,Swift VXI BSIV
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,63983,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,16.56,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
Maruti Wagon R VXI Minor,Chennai,2010,134000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,1.65,Maruti,Wagon R VXI Minor
Mercedes-Benz A Class A180 Sport,Pune,2015,11000,Petrol,Automatic,First,15.5,1595.0,120.7,5.0,16.0,Mercedes-Benz,A Class A180 Sport
Hyundai Santro Xing GL,Pune,2008,93000,Petrol,Manual,First,,1086.0,62.0,5.0,1.45,Hyundai,Santro Xing GL
Maruti Swift Dzire AMT ZDI,Coimbatore,2017,24852,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,8.08,Maruti,Swift Dzire AMT ZDI
Hyundai Grand i10 AT Asta,Pune,2014,37632,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,4.5,Hyundai,Grand i10 AT Asta
Nissan Sunny 2011-2014 XV Special Edition,Chennai,2013,55000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,4.3,Nissan,Sunny 2011-2014 XV Special Edition
Maruti A-Star Lxi,Hyderabad,2010,81448,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.6,Maruti,A-Star Lxi
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799.0,53.3,5.0,4.45,Renault,KWID RXT Optional
Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,2012,54957,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,5.37,Hyundai,Verna 1.6 SX VTVT (O) AT
Maruti Wagon R LXI Minor,Chennai,2008,55000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,1.75,Maruti,Wagon R LXI Minor
BMW 3 Series 320d Sport Line,Kolkata,2013,21983,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,16.5,BMW,3 Series 320d Sport Line
BMW 5 Series 2003-2012 520d,Delhi,2013,76000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,19.0,BMW,5 Series 2003-2012 520d
Tata Indigo CS eVX,Jaipur,2016,65000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,2.8,Tata,Indigo CS eVX
Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2015,26000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.2,Hyundai,i20 Sportz 1.4 CRDi
Maruti Omni E MPI STD BS IV,Kochi,2019,11571,Petrol,Manual,First,16.8,796.0,34.2,8.0,3.8,Maruti,Omni E MPI STD BS IV
Maruti Swift ZDi,Hyderabad,2014,81000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.1,Maruti,Swift ZDi
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498.0,98.96,5.0,11.65,Ford,Ecosport Signature Edition Diesel
Honda Brio VX AT,Mumbai,2014,26856,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,4.15,Honda,Brio VX AT
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393.0,147.8,7.0,16.5,Toyota,Innova Crysta 2.4 GX MT
Mahindra Scorpio 2.6 LX,Bangalore,2008,176000,Diesel,Manual,Second,10.5,2179.0,120.0,8.0,4.3,Mahindra,Scorpio 2.6 LX
Hyundai i20 1.2 Magna,Kolkata,2010,18000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.25,Hyundai,i20 1.2 Magna
Hyundai Verna 1.6 SX,Ahmedabad,2014,63003,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.75,Hyundai,Verna 1.6 SX
Mahindra XUV500 W6 2WD,Chennai,2014,80000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.4,Mahindra,XUV500 W6 2WD
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498.0,108.5,5.0,5.39,Volkswagen,Vento 1.5 TDI Comfortline
Maruti Swift Dzire VDI Optional,Kochi,2019,18592,Diesel,Manual,First,26.59,1248.0,74.0,5.0,8.51,Maruti,Swift Dzire VDI Optional
Tata Manza Aura Safire BS IV,Pune,2010,75695,Petrol,Manual,First,13.7,1368.0,88.8,5.0,1.85,Tata,Manza Aura Safire BS IV
Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22.9,1248.0,74.0,5.0,2.5,Maruti,Swift VDI
Volkswagen Polo Diesel Highline 1.2L,Chennai,2013,60000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.75,Volkswagen,Polo Diesel Highline 1.2L
Honda City 1.5 V MT,Pune,2009,138000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,3.5,Honda,City 1.5 V MT
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,2014,67000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,5.5,Hyundai,i20 Asta (o) 1.4 CRDi (Diesel)
Honda City 1.5 V MT,Coimbatore,2012,42750,Petrol,Manual,First,17.0,1497.0,118.0,5.0,6.33,Honda,City 1.5 V MT
Chevrolet Beat Diesel,Kochi,2014,52398,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.47,Chevrolet,Beat Diesel
Chevrolet Spark 1.0 LS,Kochi,2014,36657,Petrol,Manual,First,16.2,995.0,62.1,5.0,3.3,Chevrolet,Spark 1.0 LS
Tata New Safari DICOR 2.2 EX 4x2,Delhi,2011,77000,Diesel,Manual,Second,11.57,2179.0,138.1,7.0,3.5,Tata,New Safari DICOR 2.2 EX 4x2
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,85000,Diesel,Automatic,First,11.3,2987.0,254.8,7.0,38.75,Mercedes-Benz,GL-Class 350 CDI Blue Efficiency
BMW 5 Series 2003-2012 530d Highline,Pune,2008,112500,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,7.99,BMW,5 Series 2003-2012 530d Highline
Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755.0,174.5,7.0,13.28,Toyota,Fortuner 2.8 4WD MT
BMW X1 sDrive 18i,Pune,2012,80000,Petrol,Automatic,First,11.25,1995.0,150.0,5.0,9.5,BMW,X1 sDrive 18i
Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,Diesel,Manual,First,20.37,1461.0,108.45,5.0,14.01,Renault,Captur 1.5 Diesel Platine Mono
Hyundai Xcent 1.1 CRDi S,Coimbatore,2016,14656,Diesel,Manual,First,24.4,1120.0,71.0,5.0,6.99,Hyundai,Xcent 1.1 CRDi S
BMW 3 Series 320d,Hyderabad,2010,105000,Diesel,Automatic,Second,13.2,1995.0,170.0,5.0,11.0,BMW,3 Series 320d
BMW 5 Series 2010-2013 525i,Hyderabad,2008,61000,Petrol,Automatic,Second,10.8,2497.0,215.0,5.0,11.0,BMW,5 Series 2010-2013 525i
Nissan Micra XE,Pune,2010,85046,Petrol,Manual,Second,18.06,1198.0,75.0,5.0,2.3,Nissan,Micra XE
Jaguar XF 2.2 Litre Luxury,Delhi,2014,48000,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,26.5,Jaguar,XF 2.2 Litre Luxury
Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,Diesel,Automatic,First,10.2,4367.0,308.0,7.0,67.0,Land_Rover,Rover Range Rover TDV8 (Diesel)
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368.0,160.0,5.0,17.75,Jeep,Compass 1.4 Limited Option
Honda CR-V 2.4 AT,Delhi,2010,94000,Petrol,Automatic,Second,10.1,2354.0,152.0,5.0,4.8,Honda,CR-V 2.4 AT
Maruti Swift VXI,Coimbatore,2013,61110,Petrol,Manual,First,18.6,1197.0,85.8,5.0,4.57,Maruti,Swift VXI
Hyundai Xcent 1.1 CRDi S,Chennai,2016,80000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.5,Hyundai,Xcent 1.1 CRDi S
Nissan Terrano XV Premium 110 PS,Kochi,2015,43190,Diesel,Manual,First,19.01,1461.0,108.5,5.0,7.61,Nissan,Terrano XV Premium 110 PS
Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,25.0,Audi,A4 35 TDI Technology
Hyundai Grand i10 Asta Option,Coimbatore,2016,44178,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.88,Hyundai,Grand i10 Asta Option
Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2015,84415,Diesel,Manual,First,12.99,2494.0,100.6,8.0,13.5,Toyota,Innova 2.5 G (Diesel) 8 Seater
Hyundai i20 1.2 Magna,Kolkata,2015,35000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,4.6,Hyundai,i20 1.2 Magna
Ford EcoSport 1.5 TDCi Titanium,Kolkata,2013,44000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,4.9,Ford,EcoSport 1.5 TDCi Titanium
Honda City 1.5 S MT,Hyderabad,2012,67635,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.25,Honda,City 1.5 S MT
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497.0,121.36,5.0,12.41,Ford,EcoSport 1.5 Petrol Titanium Plus AT
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2014,35000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.8,Volkswagen,Polo Diesel Highline 1.2L
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2010,49000,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,8.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2013,69000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.2,Ford,Ecosport 1.5 DV5 MT Titanium
Tata Indigo GLE,Hyderabad,2017,23228,Petrol,Manual,First,14.4,1396.0,65.0,5.0,4.5,Tata,Indigo GLE
Maruti Swift Dzire LDI,Delhi,2014,68462,Diesel,Manual,First,26.59,1248.0,74.0,5.0,4.15,Maruti,Swift Dzire LDI
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248.0,88.5,5.0,7.94,Maruti,S-Cross Zeta DDiS 200 SH
Renault Duster 110PS Diesel RxZ Pack,Pune,2014,90000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.25,Renault,Duster 110PS Diesel RxZ Pack
Maruti Wagon R VXI,Delhi,2016,22000,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.7,Maruti,Wagon R VXI
Hyundai Santro Xing GL,Hyderabad,2010,58163,Petrol,Manual,First,,1086.0,62.0,5.0,2.45,Hyundai,Santro Xing GL
Chevrolet Beat Diesel LT,Chennai,2011,109500,Diesel,Manual,Third,25.44,936.0,57.6,5.0,1.5,Chevrolet,Beat Diesel LT
Mahindra XUV500 W4 1.99 mHawk,Delhi,2017,13363,Diesel,Manual,First,16.0,1997.0,140.0,7.0,12.0,Mahindra,XUV500 W4 1.99 mHawk
Hyundai i10 Era 1.1,Delhi,2012,51000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.2,Hyundai,i10 Era 1.1
Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,2007,103000,Diesel,Manual,First,13.93,2179.0,138.0,7.0,3.6,Tata,New Safari DICOR 2.2 EX 4x4
Hyundai i10 Sportz,Kolkata,2009,43002,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1.92,Hyundai,i10 Sportz
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,20.5,Toyota,Innova Crysta 2.8 ZX AT
Skoda Laura Elegance MT,Jaipur,2010,82407,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.25,Skoda,Laura Elegance MT
Hyundai Grand i10 Sportz,Kolkata,2013,29000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.2,Hyundai,Grand i10 Sportz
Toyota Etios Liva GD,Pune,2012,225000,Diesel,Manual,Second,23.59,1364.0,,5.0,2.6,Toyota,Etios Liva GD
Maruti Swift Dzire VDI,Kolkata,2014,45000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.85,Maruti,Swift Dzire VDI
Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,2010,93401,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.48,Hyundai,i20 Asta 1.4 CRDi (Diesel)
Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2017,95802,Diesel,Manual,Second,25.83,1498.0,99.0,5.0,4.55,Ford,Figo 2015-2019 1.5D Trend MT
Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.0,Maruti,Ertiga VDI
Maruti Ertiga ZDI,Ahmedabad,2013,67443,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.75,Maruti,Ertiga ZDI
Honda City 1.5 V AT Sunroof,Kochi,2016,47681,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,8.73,Honda,City 1.5 V AT Sunroof
Maruti Alto LXi BSIII,Hyderabad,2009,35000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.7,Maruti,Alto LXi BSIII
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2016,68000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,29.5,Ford,Endeavour 3.2 Titanium AT 4X4
Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.49,Maruti,Vitara Brezza ZDi Plus
Porsche Boxster S tiptronic,Kolkata,2015,10512,Petrol,Automatic,First,8.6,2706.0,265.0,2.0,64.0,Porsche,Boxster S tiptronic
Maruti Swift ZDi,Pune,2016,58000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.55,Maruti,Swift ZDi
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,3.95,Tata,Zest Revotron 1.2 XT
Hyundai i20 1.2 Sportz Option,Bangalore,2010,61000,Petrol,Manual,Fourth & Above,17.0,1197.0,80.0,5.0,3.25,Hyundai,i20 1.2 Sportz Option
Skoda Fabia 1.4 TDI Active,Mumbai,2009,86000,Diesel,Manual,First,19.4,1422.0,70.0,5.0,2.75,Skoda,Fabia 1.4 TDI Active
Toyota Corolla Altis D-4D J,Kolkata,2015,45000,Diesel,Manual,First,21.43,1364.0,87.2,5.0,7.35,Toyota,Corolla Altis D-4D J
Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,2017,55000,Petrol,Manual,First,17.0,1198.0,73.75,5.0,4.7,Volkswagen,Ameo 1.2 MPI Comfortline
Hyundai Creta 1.6 VTVT S,Kochi,2016,36855,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.77,Hyundai,Creta 1.6 VTVT S
Hyundai i10 Magna 1.2,Kochi,2013,46821,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.42,Hyundai,i10 Magna 1.2
Chevrolet Beat LS,Kolkata,2015,120000,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.5,Chevrolet,Beat LS
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,2012,29000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,20.0,Jaguar,XF 3.0 Litre S Premium Luxury
Nissan Terrano XL,Mumbai,2014,40000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,5.25,Nissan,Terrano XL
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,2013,60000,Diesel,Automatic,Second,15.73,1968.0,174.33,5.0,14.5,Audi,Q3 2012-2015 2.0 TDI Quattro Premium Plus
Hyundai i10 Asta AT,Mumbai,2011,64984,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.45,Hyundai,i10 Asta AT
